"id","timestamp","reference","contract_type","entry_tick","exit_tick","buy_price","sell_price","profit"
1,"2019-04-17 18:06:48 GMT+0000","90137707928","DIGITEVEN","1951.54","1951.54",0.35,0.66,"0.31"
2,"2019-04-17 18:06:52 GMT+0000","90137715768","DIGITEVEN","1951.85","1951.85",0.35,"0.00","-0.35"
3,"2019-04-17 18:06:57 GMT+0000","90137725408","DIGITEVEN","1950.54","1950.54","0.70",1.36,"0.66"
4,"2019-04-17 18:07:01 GMT+0000","90137733988","DIGITEVEN","1949.96","1949.96",0.35,0.66,"0.31"
5,"2019-04-17 18:07:10 GMT+0000","90137750328","DIGITEVEN","1949.75","1949.75",0.35,"0.00","-0.35"
6,"2019-04-17 18:07:15 GMT+0000","90137761028","DIGITEVEN","1950.13","1950.13","0.70","0.00","-0.70"
7,"2019-04-17 18:07:18 GMT+0000","90137766948","DIGITEVEN","1949.50","1949.50","1.40",2.75,"1.35"
8,"2019-04-17 18:07:27 GMT+0000","90137782628","DIGITEVEN","1950.00","1950.00",0.35,0.66,"0.31"
9,"2019-04-17 18:07:37 GMT+0000","90137801048","DIGITEVEN","1949.72","1949.72",0.35,0.66,"0.31"
10,"2019-04-17 18:07:42 GMT+0000","90137809788","DIGITEVEN","1949.97","1949.97",0.35,"0.00","-0.35"
11,"2019-04-17 18:07:47 GMT+0000","90137818088","DIGITEVEN","1950.35","1950.35","0.70","0.00","-0.70"
12,"2019-04-17 18:07:54 GMT+0000","90137831168","DIGITEVEN","1948.48","1948.48","1.40",2.75,"1.35"
13,"2019-04-17 18:08:00 GMT+0000","90137841048","DIGITEVEN","1947.59","1947.59",0.35,"0.00","-0.35"
14,"2019-04-17 18:08:06 GMT+0000","90137853228","DIGITEVEN","1947.62","1947.62","0.70",1.36,"0.66"
15,"2019-04-17 18:08:11 GMT+0000","90137862388","DIGITEVEN","1947.88","1947.88",0.35,0.66,"0.31"
16,"2019-04-17 18:08:14 GMT+0000","90137868528","DIGITEVEN","1948.39","1948.39",0.35,"0.00","-0.35"
17,"2019-04-17 18:08:18 GMT+0000","90137876688","DIGITEVEN","1949.31","1949.31","0.70","0.00","-0.70"
18,"2019-04-17 18:08:22 GMT+0000","90137884648","DIGITEVEN","1949.81","1949.81","1.40","0.00","-1.40"
19,"2019-04-17 18:08:27 GMT+0000","90137893128","DIGITEVEN","1949.54","1949.54","2.80",5.49,"2.69"
20,"2019-04-17 18:08:32 GMT+0000","90137901788","DIGITEVEN","1948.91","1948.91",0.35,"0.00","-0.35"
21,"2019-04-17 18:08:37 GMT+0000","90137911728","DIGITEVEN","1948.74","1948.74","0.70",1.36,"0.66"
22,"2019-04-17 18:08:41 GMT+0000","90137918888","DIGITEVEN","1949.42","1949.42",0.35,0.66,"0.31"
23,"2019-04-17 18:08:44 GMT+0000","90137925148","DIGITEVEN","1948.30","1948.30",0.35,0.66,"0.31"
24,"2019-04-17 18:08:49 GMT+0000","90137933388","DIGITEVEN","1948.41","1948.41",0.35,"0.00","-0.35"
25,"2019-04-17 18:08:58 GMT+0000","90137948728","DIGITEVEN","1949.58","1949.58","0.70",1.36,"0.66"
26,"2019-04-17 18:09:03 GMT+0000","90137959628","DIGITEVEN","1950.12","1950.12",0.35,0.66,"0.31"
27,"2019-04-17 18:09:06 GMT+0000","90137965988","DIGITEVEN","1949.85","1949.85",0.35,"0.00","-0.35"
28,"2019-04-17 18:09:10 GMT+0000","90137974108","DIGITEVEN","1949.14","1949.14","0.70",1.36,"0.66"
29,"2019-04-17 18:09:15 GMT+0000","90137983348","DIGITEVEN","1950.05","1950.05",0.35,"0.00","-0.35"
30,"2019-04-17 18:09:24 GMT+0000","90137998328","DIGITEVEN","1949.47","1949.47","0.70","0.00","-0.70"
31,"2019-04-17 18:09:28 GMT+0000","90138007088","DIGITEVEN","1948.59","1948.59","1.40","0.00","-1.40"
32,"2019-04-17 18:09:32 GMT+0000","90138014528","DIGITEVEN","1949.50","1949.50","2.80",5.49,"2.69"
33,"2019-04-17 18:09:36 GMT+0000","90138022268","DIGITEVEN","1949.62","1949.62",0.35,0.66,"0.31"
34,"2019-04-17 18:09:40 GMT+0000","90138028908","DIGITEVEN","1948.09","1948.09",0.35,"0.00","-0.35"
35,"2019-04-17 18:09:44 GMT+0000","90138036368","DIGITEVEN","1947.81","1947.81","0.70","0.00","-0.70"
36,"2019-04-17 18:09:49 GMT+0000","90138044708","DIGITEVEN","1947.14","1947.14","1.40",2.75,"1.35"
37,"2019-04-17 18:09:53 GMT+0000","90138051628","DIGITEVEN","1946.37","1946.37",0.35,"0.00","-0.35"
38,"2019-04-17 18:09:57 GMT+0000","90138058908","DIGITEVEN","1945.47","1945.47","0.70","0.00","-0.70"
39,"2019-04-17 18:10:01 GMT+0000","90138066468","DIGITEVEN","1945.98","1945.98","1.40",2.75,"1.35"
40,"2019-04-17 18:10:04 GMT+0000","90138075468","DIGITEVEN","1945.63","1945.63",0.35,"0.00","-0.35"
41,"2019-04-17 18:10:09 GMT+0000","90138084708","DIGITEVEN","1946.79","1946.79","0.70","0.00","-0.70"
42,"2019-04-17 18:10:12 GMT+0000","90138091708","DIGITEVEN","1947.25","1947.25","1.40","0.00","-1.40"
43,"2019-04-17 18:10:16 GMT+0000","90138099548","DIGITEVEN","1947.49","1947.49","2.80","0.00","-2.80"
44,"2019-04-17 18:10:20 GMT+0000","90138106608","DIGITEVEN","1947.50","1947.50","5.60",10.98,"5.38"
45,"2019-04-17 18:10:25 GMT+0000","90138113788","DIGITEVEN","1948.01","1948.01",0.35,"0.00","-0.35"
46,"2019-04-17 18:10:29 GMT+0000","90138121808","DIGITEVEN","1948.03","1948.03","0.70","0.00","-0.70"
47,"2019-04-17 18:10:32 GMT+0000","90138127488","DIGITEVEN","1947.37","1947.37","1.40","0.00","-1.40"
48,"2019-04-17 18:10:36 GMT+0000","90138134448","DIGITEVEN","1946.31","1946.31","2.80","0.00","-2.80"
49,"2019-04-17 18:10:41 GMT+0000","90138143708","DIGITEVEN","1946.69","1946.69","5.60","0.00","-5.60"
50,"2019-04-17 18:10:50 GMT+0000","90138159748","DIGITEVEN","1948.06","1948.06","11.20",21.96,"10.76"
51,"2019-04-17 18:10:55 GMT+0000","90138168908","DIGITEVEN","1947.44","1947.44",0.35,0.66,"0.31"
52,"2019-04-17 18:10:58 GMT+0000","90138173928","DIGITEVEN","1947.78","1947.78",0.35,0.66,"0.31"
53,"2019-04-17 18:11:02 GMT+0000","90138182068","DIGITEVEN","1948.55","1948.55",0.35,"0.00","-0.35"
54,"2019-04-17 18:11:07 GMT+0000","90138191028","DIGITEVEN","1948.27","1948.27","0.70","0.00","-0.70"
55,"2019-04-17 18:11:11 GMT+0000","90138198128","DIGITEVEN","1947.90","1947.90","1.40",2.75,"1.35"
56,"2019-04-17 18:11:14 GMT+0000","90138204248","DIGITEVEN","1948.27","1948.27",0.35,"0.00","-0.35"
57,"2019-04-17 18:11:19 GMT+0000","90138211828","DIGITEVEN","1948.75","1948.75","0.70","0.00","-0.70"
58,"2019-04-17 18:11:22 GMT+0000","90138218148","DIGITEVEN","1950.02","1950.02","1.40",2.75,"1.35"
59,"2019-04-17 18:11:26 GMT+0000","90138225428","DIGITEVEN","1949.51","1949.51",0.35,"0.00","-0.35"
60,"2019-04-17 18:11:31 GMT+0000","90138234568","DIGITEVEN","1950.00","1950.00","0.70",1.36,"0.66"
61,"2019-04-17 18:11:40 GMT+0000","90138251028","DIGITEVEN","1950.81","1950.81",0.35,"0.00","-0.35"
62,"2019-04-17 18:11:44 GMT+0000","90138258128","DIGITEVEN","1951.03","1951.03","0.70","0.00","-0.70"
63,"2019-04-17 18:11:48 GMT+0000","90138265388","DIGITEVEN","1951.13","1951.13","1.40","0.00","-1.40"
64,"2019-04-17 18:11:53 GMT+0000","90138274208","DIGITEVEN","1950.36","1950.36","2.80",5.49,"2.69"
65,"2019-04-17 18:11:56 GMT+0000","90138280388","DIGITEVEN","1949.85","1949.85",0.35,"0.00","-0.35"
66,"2019-04-17 18:12:01 GMT+0000","90138289748","DIGITEVEN","1949.01","1949.01","0.70","0.00","-0.70"
67,"2019-04-17 18:12:04 GMT+0000","90138295728","DIGITEVEN","1948.81","1948.81","1.40","0.00","-1.40"
68,"2019-04-17 18:12:10 GMT+0000","90138305768","DIGITEVEN","1946.33","1946.33","2.80","0.00","-2.80"
69,"2019-04-17 18:12:14 GMT+0000","90138314708","DIGITEVEN","1946.55","1946.55","5.60","0.00","-5.60"
70,"2019-04-17 18:12:18 GMT+0000","90138322928","DIGITEVEN","1946.59","1946.59","11.20","0.00","-11.20"
71,"2019-04-17 18:12:23 GMT+0000","90138331388","DIGITEVEN","1945.36","1945.36","22.40",43.92,"21.52"
72,"2019-04-17 18:12:27 GMT+0000","90138338988","DIGITEVEN","1944.78","1944.78",0.35,0.66,"0.31"
73,"2019-04-17 18:12:31 GMT+0000","90138346208","DIGITEVEN","1944.59","1944.59",0.35,"0.00","-0.35"
74,"2019-04-17 18:12:35 GMT+0000","90138353368","DIGITEVEN","1943.84","1943.84","0.70",1.36,"0.66"
75,"2019-04-17 18:12:39 GMT+0000","90138361588","DIGITEVEN","1943.73","1943.73",0.35,"0.00","-0.35"
